fluid,temp_c_k,area_ratio,exit_temp_k,ratio,exit_rho,slope
water,8000,1.9051,5739.36,0.71742,2.464332e+00,-0.2084
water,8000,2.0046,5679.67,0.70996,2.307056e+00,-0.2025
water,8000,2.1108,5621.47,0.70268,2.159818e+00,-0.1970
water,8000,2.2239,5564.71,0.69559,2.021976e+00,-0.1919
water,8000,2.3446,5509.31,0.68866,1.892932e+00,-0.1871
water,8000,2.4730,5455.24,0.68190,1.772123e+00,-0.1827
water,8000,2.6099,5402.43,0.67530,1.659025e+00,-0.1786
water,8000,2.7556,5350.84,0.66886,1.553144e+00,-0.1747
water,8000,2.9108,5300.43,0.66255,1.454021e+00,-0.1710
water,8000,3.0759,5251.15,0.65639,1.361224e+00,-0.1676
water,8000,3.2517,5202.96,0.65037,1.274350e+00,-0.1643
water,8000,3.4387,5155.82,0.64448,1.193020e+00,-0.1612
water,8000,3.6378,5109.69,0.63871,1.116880e+00,-0.1582
water,8000,3.8496,5064.54,0.63307,1.045600e+00,-0.1554
water,8000,4.0750,5020.33,0.62754,9.788689e-01,-0.1527
water,8000,4.3149,4977.04,0.62213,9.163966e-01,-0.1502
water,8000,4.5701,4934.63,0.61683,8.579114e-01,-0.1477
water,8000,4.8417,4893.07,0.61163,8.031587e-01,-0.1454
water,8000,5.1306,4852.33,0.60654,7.519004e-01,-0.1431
water,8000,5.4381,4812.40,0.60155,7.039135e-01,-0.1409
water,8000,5.7652,4773.23,0.59665,6.589891e-01,-0.1388
water,8000,6.1134,4734.81,0.59185,6.169319e-01,-0.1368
water,8000,6.4838,4697.12,0.58714,5.775587e-01,-0.1349
water,8000,6.8781,4660.13,0.58252,5.406984e-01,-0.1330
water,8000,7.2976,4623.82,0.57798,5.061906e-01,-0.1312
water,8000,7.7441,4588.17,0.57352,4.738851e-01,-0.1295
water,8000,8.2193,4553.16,0.56914,4.436413e-01,-0.1278
water,8000,8.7251,4518.77,0.56485,4.153277e-01,-0.1262
water,8000,9.2634,4484.99,0.56062,3.888212e-01,-0.1246
water,8000,9.8363,4451.79,0.55647,3.640062e-01,-0.1230
water,8000,10.4462,4419.16,0.55240,3.407751e-01,-0.1216
water,8000,11.0954,4387.09,0.54839,3.190265e-01,-0.1201
water,8000,11.7865,4355.55,0.54444,2.986659e-01,-0.1187
water,8000,12.5222,4324.54,0.54057,2.796048e-01,-0.1173
water,8000,13.3054,4294.04,0.53675,2.617602e-01,-0.1160
water,8000,14.1393,4264.03,0.53300,2.450544e-01,-0.1147
water,8000,15.0271,4234.50,0.52931,2.294148e-01,-0.1135
water,8000,15.9724,4205.45,0.52568,2.147734e-01,-0.1123
water,8000,16.9789,4176.85,0.52211,2.010664e-01,-0.1111
water,8000,18.0507,4148.69,0.51859,1.882341e-01,-0.1099
water,8000,19.1920,4120.97,0.51512,1.762209e-01,-0.1088
water,8000,20.4074,4093.68,0.51171,1.649743e-01,-0.1077
water,8000,21.7016,4066.79,0.50835,1.544455e-01,-0.1066
water,8000,23.0801,4040.31,0.50504,1.445886e-01,-0.1056
water,8000,24.5481,4014.22,0.50178,1.353609e-01,-0.1045
water,8000,26.1117,3988.52,0.49856,1.267220e-01,-0.1035
water,8000,27.7770,3963.19,0.49540,1.186345e-01,-0.1026
water,8000,29.5509,3938.22,0.49228,1.110632e-01,-0.1016
water,8000,31.4404,3913.61,0.48920,1.039750e-01,-0.1007
water,8000,33.4531,3889.34,0.48617,9.733923e-02,-0.0998
water,8000,35.5971,3865.42,0.48318,9.112696e-02,-0.0989
water,8000,37.8812,3841.82,0.48023,8.531116e-02,-0.0980
water,8000,40.3145,3818.56,0.47732,7.986653e-02,-0.0972
water,8000,42.9068,3795.60,0.47445,7.476937e-02,-0.0963
water,8000,45.6687,3772.96,0.47162,6.999753e-02,-0.0955
water,8000,48.6113,3750.62,0.46883,6.553022e-02,-0.0947
water,8000,51.7466,3728.58,0.46607,6.134803e-02,-0.0939
water,8000,55.0872,3706.83,0.46335,5.743274e-02,-0.0932
water,8000,58.6468,3685.36,0.46067,5.376734e-02,-0.0924
water,8000,62.4397,3664.16,0.45802,5.033586e-02,-0.0917
water,8000,66.4815,3643.24,0.45541,4.712338e-02,-0.0909
water,8000,70.7885,3622.59,0.45282,4.411592e-02,-0.0902
water,8000,75.3783,3602.19,0.45027,4.130041e-02,-0.0895
water,8000,80.2697,3582.05,0.44776,3.866458e-02,-0.0888
water,8000,85.4825,3562.16,0.44527,3.619697e-02,-0.0882
water,8000,91.0380,3542.51,0.44281,3.388685e-02,-0.0875
water,8000,96.9590,3523.11,0.44039,3.172416e-02,-0.0869
water,8000,103.2696,3503.94,0.43799,2.969950e-02,-0.0862
water,8000,109.9957,3484.99,0.43562,2.780405e-02,-0.0856
water,8000,117.1647,3466.28,0.43328,2.602957e-02,-0.0850
water,8000,124.8061,3447.78,0.43097,2.436834e-02,-0.0844
water,8000,132.9512,3429.50,0.42869,2.281313e-02,-0.0838
water,8000,141.6333,3411.43,0.42643,2.135718e-02,-0.0832
water,8000,150.8882,3393.57,0.42420,1.999414e-02,-0.0826
water,8000,160.7538,3375.92,0.42199,1.871810e-02,-0.0821
water,8000,171.2706,3358.47,0.41981,1.752350e-02,-0.0815
water,8000,182.4820,3341.21,0.41765,1.640513e-02,-0.0810
water,8000,194.4340,3324.15,0.41552,1.535814e-02,-0.0804
water,8000,207.1758,3307.27,0.41341,1.437797e-02,-0.0799
water,8000,220.7600,3290.58,0.41132,1.346036e-02,-0.0794
water,8000,235.2424,3274.08,0.40926,1.260130e-02,-0.0789
water,8000,250.6830,3257.75,0.40722,1.179708e-02,-0.0784
water,8000,267.1453,3241.60,0.40520,1.104418e-02,-0.0779
water,8000,284.6973,3225.62,0.40320,1.033933e-02,-0.0774
water,8000,303.4116,3209.81,0.40123,9.679465e-03,-0.0769
water,8000,323.3654,3194.17,0.39927,9.061713e-03,-0.0765
water,8000,344.6414,3178.70,0.39734,8.483386e-03,-0.0760
water,8000,367.3274,3163.38,0.39542,7.941969e-03,-0.0755
water,8000,391.5175,3148.22,0.39353,7.435106e-03,-0.0751
water,8000,417.3118,3133.22,0.39165,6.960591e-03,-0.0746
water,8000,444.8172,3118.37,0.38980,6.516360e-03,-0.0742
water,8000,474.1478,3103.67,0.38796,6.100480e-03,-0.0738
water,8000,505.4250,3089.12,0.38614,5.711142e-03,-0.0734
water,8000,538.7789,3074.71,0.38434,5.346652e-03,-0.0729
water,8000,574.3477,3060.45,0.38256,5.005424e-03,-0.0725
water,8000,612.2793,3046.33,0.38079,4.685974e-03,-0.0721
water,8000,652.7312,3032.34,0.37904,4.386911e-03,-0.0717
water,8000,695.8717,3018.50,0.37731,4.106934e-03,-0.0713
water,8000,741.8800,3004.78,0.37560,3.844826e-03,-0.0709
water,8000,790.9477,2991.20,0.37390,3.599446e-03,-0.0706
water,8000,843.2790,2977.75,0.37222,3.369726e-03,-0.0702
water,8000,899.0918,2964.42,0.37055,3.154667e-03,-0.0698
water,8000,958.6185,2951.22,0.36890,2.953334e-03,-0.0691
water,10000,1.0077,8267.30,0.82673,6.175527e+00,-1.8219
water,10000,1.0232,8100.33,0.81003,5.781399e+00,-1.0991
water,10000,1.0452,7941.95,0.79419,5.412425e+00,-0.8194
water,10000,1.0729,7791.51,0.77915,5.067000e+00,-0.6689
water,10000,1.1058,7648.45,0.76485,4.743619e+00,-0.5738
water,10000,1.1434,7512.22,0.75122,4.440877e+00,-0.5076
water,10000,1.1857,7382.34,0.73823,4.157457e+00,-0.4585
water,10000,1.2324,7258.35,0.72584,3.892124e+00,-0.4202
water,10000,1.2837,7139.85,0.71398,3.643725e+00,-0.3895
water,10000,1.3396,7026.45,0.70264,3.411180e+00,-0.3640
water,10000,1.4001,6917.80,0.69178,3.193475e+00,-0.3425
water,10000,1.4655,6813.59,0.68136,2.989665e+00,-0.3241
water,10000,1.5358,6713.53,0.67135,2.798862e+00,-0.3080
water,10000,1.6113,6617.36,0.66174,2.620236e+00,-0.2939
water,10000,1.6923,6524.82,0.65248,2.453010e+00,-0.2813
water,10000,1.7790,6435.69,0.64357,2.296457e+00,-0.2700
water,10000,1.8716,6349.77,0.63498,2.149895e+00,-0.2598
water,10000,1.9706,6266.87,0.62669,2.012687e+00,-0.2505
water,10000,2.0763,6186.81,0.61868,1.884236e+00,-0.2420
water,10000,2.1891,6109.43,0.61094,1.763982e+00,-0.2342
water,10000,2.3093,6034.59,0.60346,1.651403e+00,-0.2270
water,10000,2.4375,5962.13,0.59621,1.546009e+00,-0.2204
water,10000,2.5741,5891.94,0.58919,1.447341e+00,-0.2142
water,10000,2.7196,5823.90,0.58239,1.354971e+00,-0.2084
water,10000,2.8746,5757.90,0.57579,1.268495e+00,-0.2030
water,10000,3.0397,5693.83,0.56938,1.187539e+00,-0.1979
water,10000,3.2155,5631.60,0.56316,1.111749e+00,-0.1931
water,10000,3.4027,5571.13,0.55711,1.040796e+00,-0.1886
water,10000,3.6019,5512.32,0.55123,9.743719e-01,-0.1844
water,10000,3.8141,5455.10,0.54551,9.121866e-01,-0.1804
water,10000,4.0399,5399.40,0.53994,8.539701e-01,-0.1766
water,10000,4.2803,5345.15,0.53451,7.994690e-01,-0.1729
water,10000,4.5362,5292.28,0.52923,7.484462e-01,-0.1695
water,10000,4.8086,5240.75,0.52407,7.006797e-01,-0.1662
water,10000,5.0986,5190.48,0.51905,6.559617e-01,-0.1631
water,10000,5.4073,5141.43,0.51414,6.140976e-01,-0.1601
