closing_speed_km_s,rho_kg_m3,dissipated_MJ_kg,temp_K,pressure_Pa,ionised_fraction,dissociated_fraction,n_e_m3
44,2,91.1690,15676.1,4.473555e+07,0.030545,0.999994,6.126361e+24
45.58,2,97.8341,16914.4,4.901070e+07,0.046368,0.999996,9.300048e+24
46,2,99.6454,17217.8,5.010587e+07,0.050897,0.999996,1.020839e+25
48,2,108.4986,18554.6,5.518215e+07,0.073981,0.999998,1.483848e+25
50,2,117.7285,19760.6,6.014725e+07,0.099171,0.999998,1.989076e+25
52,2,127.3352,20879.6,6.510981e+07,0.126092,0.999999,2.529045e+25
54,2,137.3186,21939.4,7.014085e+07,0.154502,0.999999,3.098862e+25
56,2,147.6787,22959.3,7.529112e+07,0.184226,0.999999,3.695028e+25
56.53,2,150.4872,23224.7,7.668108e+07,0.192305,0.999999,3.857073e+25
58,2,158.4155,23953.1,8.059988e+07,0.215127,1.000000,4.314831e+25
60,2,169.5291,24931.7,8.609974e+07,0.247095,1.000000,4.956007e+25
62,2,181.0194,25903.9,9.181950e+07,0.280028,1.000000,5.616541e+25
64,2,192.8864,26877.3,9.778598e+07,0.313831,1.000000,6.294536e+25
66,2,205.1302,27859.0,1.040252e+08,0.348411,1.000000,6.988115e+25
68,2,217.7507,28855.4,1.105634e+08,0.383672,1.000000,7.695346e+25
70,2,230.7479,29873.1,1.174274e+08,0.419511,1.000000,8.414174e+25
72,2,244.1219,30918.5,1.246453e+08,0.455816,1.000000,9.142349e+25
74,2,257.8726,31998.4,1.322462e+08,0.492462,1.000000,9.877359e+25
76,2,272.0000,33119.9,1.402605e+08,0.529307,1.000000,1.061635e+26
