v,d_over_d,axis,x,rel_delta,eta_capture,e_eff,f,s,peak_compressive,survives_baseline,cliff,sigma_noise_f,solver_valid
11000.0,0.0,r_foot_over_r,0.525,0.050000000000000044,0.9121771032937805,0.5757096709805412,0.718663141653513,0.03902273390031337,105775089.12024832,True,False,0.005210602335815267,True
11000.0,0.0,r_foot_over_r,0.55,0.10000000000000009,0.9123510978407954,0.5739539708354773,0.7179993166213134,0.01025640162594928,91924724.03248578,True,False,0.005210602335815267,True
11000.0,0.0,r_foot_over_r,0.6,0.19999999999999996,0.9115969069701393,0.5704311739067889,0.7158001003714568,-0.010202397722468127,70640939.12123324,True,False,0.005210602335815267,True
11000.0,0.0,taper_frac,0.1,0.33333333333333337,0.9070810139859519,0.578230407568203,0.7157914192002138,-0.006157748173614224,130992766.31852382,True,False,0.005210602335815267,True
11000.0,0.0,taper_frac,0.2,0.6666666666666667,0.9053972030798636,0.5789960017733149,0.7148092818399233,-0.005132799467486009,139721188.57889858,True,False,0.005210602335815267,True
11000.0,0.0,taper_frac,0.3,1.0,0.9031753818389842,0.579673974465513,0.7133613225344977,-0.005440593011097278,148567546.02690792,True,False,0.005210602335815267,True
16000.0,0.1,alpha_div,0.033,0.33,0.9780252683369582,0.6376632546513541,0.8008380220379835,0.015574566597886877,324379100.91594195,True,False,0.0031817836626802857,True
16000.0,0.1,alpha_div,0.067,0.67,0.98250648682667,0.6376632546513541,0.8045073854663161,0.014544866836327176,311371897.6737619,True,False,0.0031817836626802857,True
16000.0,0.1,alpha_div,0.1,1.0,0.9826314226294959,0.6376632546513541,0.8046096868530552,0.00987346024793512,303668760.2785246,True,False,0.0031817836626802857,True
16000.0,0.1,l_over_d,0.24,-0.2,0.9924402252516273,0.6388619651290142,0.8132362689144818,-0.10350383736912804,410574731.95878494,False,False,0.0031817836626802857,True
16000.0,0.1,l_over_d,0.27,-0.09999999999999991,0.9784332334291531,0.6382736355648848,0.8014706852437421,-0.05933668733220463,364861981.78686506,True,True,0.0031817836626802857,True
16000.0,0.1,l_over_d,0.285,-0.050000000000000044,0.9756726697450467,0.6380093812488059,0.7990804930352273,-0.05867430391717123,346013004.7107447,True,False,0.0031817836626802857,True
