run,variant,parent_forcing,history_stride,relative_tolerance,maximum_step_s,end_time_s,kinetics_validated,total_mass_kg,initial_bond_store_j,mass_mean_initial_ionized_nuclei_fraction,resolved_mass_fraction,resolved_initial_store_fraction,resolved_net_return_j,resolved_return_over_total_start_store,including_unresolved_return_lower_j,including_unresolved_return_upper_j,parent_equilibrium_net_return_j,resolved_work_j,resolved_parent_forcing_j,max_energy_error_j_kg,max_energy_relative_error,accepted_steps,rejected_steps
parcel_n80_refined,without_direct_and_steam_h2,True,2,1e-05,1.25e-07,0.00025,False,237.5,5627720266.514632,0.10120632839606251,1.0,0.9999999999999988,1698508055.4048166,0.3018110309268693,1698508055.4048166,1698508055.4048166,1735268865.028622,-6244219796.535807,216520266.95963967,3.9480248019099236,4.028506612734303e-09,1612109,1553
parcel_n80_refined,without_direct_and_steam_h2,False,2,1e-05,1.25e-07,0.000193,False,237.5,5627720266.514632,0.10120632839606251,1.0,0.9999999999999988,1377227677.6983027,0.24472212769581195,1377227677.6983027,1377227677.6983027,1369796105.5254436,-4199525887.395296,0.0,3.43671578168869,2.9679955807642386e-09,1610376,1540
parcel_n80_refined,without_direct_and_steam_h2,False,2,1e-05,1.25e-07,0.00025,False,237.5,5627720266.514632,0.10120632839606251,1.0,0.9999999999999988,1740059013.597812,0.30919429736962883,1740059013.597812,1740059013.597812,1735268865.028622,-6157032564.214811,0.0,3.43671578168869,2.9679955807642386e-09,1610376,1540
parcel_n80_refined,association_1e3_slower,True,2,1e-05,1.25e-07,0.000193,False,237.5,5627720266.514632,0.10120632839606251,1.0,0.9999999999999988,1329968237.989289,0.23632451063758486,1329968237.989289,1329968237.989289,1369796105.5254436,-4239049634.773522,198058097.71312633,3.9479840993881226,4.185758798760849e-09,1594864,4057
parcel_n80_refined,association_1e3_slower,True,2,1e-05,1.25e-07,0.00025,False,237.5,5627720266.514632,0.10120632839606251,1.0,0.9999999999999988,1694284404.2237597,0.30106052255384513,1694284404.2237597,1694284404.2237597,1735268865.028622,-6243175795.936014,216520266.9596396,3.9479840993881226,4.185758798760849e-09,1594864,4057
parcel_n80_refined,association_1e3_slower,False,2,1e-05,1.25e-07,0.000193,False,237.5,5627720266.514632,0.10120632839606251,1.0,0.9999999999999988,1374925691.223867,0.24431308347090036,1374925691.223867,1374925691.223867,1369796105.5254436,-4198777078.7095428,0.0,3.4366707801818848,2.967956716836637e-09,1593471,4183
parcel_n80_refined,association_1e3_slower,False,2,1e-05,1.25e-07,0.00025,False,237.5,5627720266.514632,0.10120632839606251,1.0,0.9999999999999988,1735817464.1134536,0.3084406086140601,1735817464.1134536,1735817464.1134536,1735268865.028622,-6155973833.044125,0.0,3.4366707801818848,2.967956716836637e-09,1593471,4183
parcel_n80_refined,association_1e6_slower,True,2,1e-05,1.25e-07,0.000193,False,237.5,5627720266.514632,0.10120632839606251,1.0,0.9999999999999988,562424389.8486564,0.09993822777495262,562424389.8486564,562424389.8486564,1369796105.5254436,-4069101259.178185,198058097.7131267,3.9479693844914436,3.908754445804639e-09,1612423,1528
parcel_n80_refined,association_1e6_slower,True,2,1e-05,1.25e-07,0.00025,False,237.5,5627720266.514632,0.10120632839606251,1.0,0.9999999999999988,678835388.2611535,0.12062351291699343,678835388.2611535,678835388.2611535,1735268865.028622,-5962290547.393928,216520266.9596399,3.9479693844914436,3.908754445804639e-09,1612423,1528
parcel_n80_refined,association_1e6_slower,False,2,1e-05,1.25e-07,0.000193,False,237.5,5627720266.514632,0.10120632839606251,1.0,0.9999999999999988,579373621.0003653,0.1029499679377603,579373621.0003653,579373621.0003653,1369796105.5254436,-4018656271.062011,0.0,3.4366924464702606,2.9679754281448267e-09,1613022,1547
