case,closing_speed_m_s,k,projectile_kg,projectile_temperature_k,projectile_density_kg_m3,injection_speed_m_s,stored_water_temperature_k,stored_water_pressure_pa,liquid_energy_j_kg,energy_offset_j_kg,reference_match_temperature_k,reference_match_density_kg_m3,coolprop_version,mixed_density_kg_m3,merge_velocity_m_s,merge_heat_j,total_input_energy_j,mixed_internal_energy_j_kg,temperature_k,pressure_pa,bond_energy_j_kg,bond_fraction,ionization_energy_j_kg,thermal_energy_j_kg
2-synodic,61830.0,10.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,1.0,5620.909090909091,43442601136.36363,47322375649.346275,156284056.49349058,22268.542325064074,37703823.99433763,50914382.0685987,0.9994797784121535,48792554.96356392,56577119.461327955
2-synodic,61830.0,10.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,10.0,5620.909090909091,43442601136.36363,47322375649.346275,156284056.49349058,27774.954277169716,450033806.7947574,50736552.332914606,0.9959888743179595,37834158.51701026,67713345.64356571
2-synodic,65130.0,5.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,0.1,10855.0,44186634375.0,52798684322.409805,293075716.3160654,25013.35572994499,5897451.74090832,50940568.96263768,0.9999938428078702,153673084.98504522,88462062.36838248
2-synodic,65130.0,5.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,1.0,10855.0,44186634375.0,52798684322.409805,293075716.3160654,32108.990552494062,71764786.29730472,50937175.622096725,0.9999272295030601,134486963.57918155,107651577.1147871
2-synodic,65130.0,5.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,10.0,10855.0,44186634375.0,52798684322.409805,293075716.3160654,42485.154529864754,881612832.1939495,50893356.14630821,0.9990670269792972,109865014.32659817,132317345.84315899
2-synodic,65130.0,6.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,0.1,9304.285714285714,45449109642.85714,52750842587.797104,258148519.88945282,23130.330352035482,5114317.359101454,50940219.71847487,0.9999869869360266,130492982.88096826,76715317.29000969
2-synodic,65130.0,6.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,1.0,9304.285714285714,45449109642.85714,52750842587.797104,258148519.88945282,29566.831204914022,62243257.37767911,50934533.007098496,0.9998753533897587,113842190.77924436,93371796.10310996
2-synodic,65130.0,6.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,10.0,9304.285714285714,45449109642.85714,52750842587.797104,258148519.88945282,38897.26429921275,765112764.9084502,50872967.70460425,0.9986667896717131,92410267.0879812,114865285.09686735
2-synodic,65130.0,7.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,0.1,8141.25,46395966093.75,52703000853.184395,230375028.48467198,21769.732300319673,4547763.797268184,50939775.02875602,0.9999782574108198,111217924.0749348,68217329.38098116
2-synodic,65130.0,7.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,1.0,8141.25,46395966093.75,52703000853.184395,230375028.48467198,27627.12390191341,55163654.51015507,50931428.491961285,0.9998144099004077,96688536.86284068,82755063.12987003
2-synodic,65130.0,7.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,10.0,8141.25,46395966093.75,52703000853.184395,230375028.48467198,36022.20603403443,675919356.6537472,50850599.82452923,0.9982276948047497,78015773.93443814,101508654.72570461
2-synodic,65130.0,8.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,0.1,7236.666666666667,47132410000.0,52655159118.57169,207838257.19365197,20699.44410180174,4114004.615626582,50939257.77459198,0.9999681034021438,95187717.29916248,61711282.119897515
2-synodic,65130.0,8.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,1.0,7236.666666666667,47132410000.0,52655159118.57169,207838257.19365197,26061.750606251873,49676906.378465556,50927974.676786825,0.9997466094423643,82382620.35853106,74527662.15833408
2-synodic,65130.0,8.0,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,10.0,7236.666666666667,47132410000.0,52655159118.57169,207838257.19365197,33642.66632132417,605673379.9168496,50826721.51979871,0.9977589493982207,66018323.14499167,90993212.52886161
2-synodic,65130.0,8.5,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,0.1,6855.789473684211,47442491644.73684,52631238251.265335,198104289.03579864,20236.84055493591,3932234.48497384,50938976.4895523,0.9999625816085422,88180406.37780495,58984906.1684414
2-synodic,65130.0,8.5,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,1.0,6855.789473684211,47442491644.73684,52631238251.265335,198104289.03579864,25377.90757953185,47365651.95075195,50926136.169534795,0.9997105184451606,76116008.80371603,71062144.0625478
2-synodic,65130.0,8.5,25.0,400.0,0.1241518740905039,0.0,293.15,101325.0,-1913669.3845082463,-1997575.1783721242,400.0,0.01,7.2.0,10.0,6855.789473684211,47442491644.73684,52631238251.265335,198104289.03579864,32591.90044722095,575851248.5287925,50814271.39336408,0.9975145459682956,60759749.35181848,86530268.2906161
